,question,answer,max_points,keywords,classification,original_question,original_answer
0,Was ist Data Science?,"Data Science ist ein interdisziplinäres Feld, das wissenschaftliche Methoden, Prozesse, Algorithmen und Systeme nutzt, um Wissen und Erkenntnisse aus Daten zu gewinnen.",5,interdisziplinär; wissenschaftliche Methoden; Algorithmen; Systeme; Wissen,Hauptfrage,What is data science?,"Data science is an interdisciplinary field that uses scientific methods, processes, algorithms, and systems to extract knowledge and insights from data."
1,Was sind die wesentlichen Schritte im Datenwissenschaftsprozess?,"Die wesentlichen Schritte umfassen typischerweise Problemdefinition, Datenerhebung, Datenvorbereitung, explorative Datenanalyse, Modellierung, Bewertung und Deployment.",6,Problemdefinition; Datenerhebung; Datenvorbereitung; explorative Datenanalyse; Modellierung; Bewertung; Deployment,Aufzählung,What are the key steps in the data science process?,"The key steps typically include problem definition, data collection, data preparation, exploratory data analysis, modeling, evaluation, and deployment."
2,Was ist der Unterschied zwischen überwachtem und unüberwachtem Lernen?,"Überwachtes Lernen beinhaltet das Trainieren eines Modells mit beschrifteten Daten, wobei der Algorithmus die Beziehung zwischen Eingangsmerkmalen und Zielbeschriftungen lernt. Unüberwachtes Lernen beschäftigt sich mit unbeschrifteten Daten und zielt darauf ab, versteckte Muster oder Strukturen innerhalb der Daten zu finden.",5,überwachtes Lernen; beschriftete Daten; Eingangsmerkmale; Zielbeschriftungen; unüberwachtes Lernen; unbeschriftete Daten; Muster; Strukturen,Hauptfrage,What is the difference between supervised and unsupervised learning?,"Supervised learning involves training a model on labeled data, where the algorithm learns the relationship between input features and target labels. Unsupervised learning deals with unlabeled data and aims to find hidden patterns or structures within the data."
3,Erkläre das Bias-Variance-Dilemma.,"Das Bias-Variance-Dilemma ist das Gleichgewicht zwischen dem Fehler, der durch Verzerrung (Unteranpassung) und den Fehler, der durch Varianz (Überanpassung) eingeführt wird, wenn ein maschinelles Lernmodell erstellt wird.",5,Bias; Variance; Tradeoff; Underfitting; Overfitting,Hauptfrage,Explain the bias-variance tradeoff.,The bias-variance tradeoff is the balance between the error introduced by bias (underfitting) and the error introduced by variance (overfitting) when building a machine learning model.
4,Was ist Feature Engineering?,"Feature engineering ist der Prozess der Auswahl, Transformation und Erstellung von Merkmalen aus rohen Daten zur Verbesserung der Modellleistung.",4,Feature Engineering; Auswahl; Transformation; Erstellung; rohe Daten; Modellleistung,Hauptfrage,What is feature engineering?,"Feature engineering is the process of selecting, transforming, and creating features from raw data to improve model performance."
5,Wie gehst du mit fehlenden Daten in einem Datensatz um?,"Fehlende Daten können durch Imputationstechniken wie Mittelwert-, Median- oder Modus-Imputation, die Verwendung von Vorhersagemodellen zur Schätzung fehlender Werte oder durch das Löschen von Zeilen oder Spalten mit fehlenden Werten behandelt werden, abhängig von der Größe und Natur des Datensatzes.",6,Imputationstechniken; Mittelwert-Imputation; Median-Imputation; Modus-Imputation; Vorhersagemodelle; Löschen,Hauptfrage,How do you handle missing data in a dataset?,"Missing data can be handled by imputation techniques such as mean, median, or mode imputation, using predictive models to estimate missing values, or by deleting rows or columns with missing values, depending on the dataset size and nature."
6,Was ist Kreuzvalidierung?,"Kreuzvalidierung ist eine Technik, die verwendet wird, um die Leistung eines prädiktiven Modells zu bewerten, indem die Daten in mehrere Untermengen aufgeteilt werden.",5,Technik; prädiktives Modell; Leistungsbewertung; Datenaufteilung,Hauptfrage,What is cross-validation?,Cross-validation is a technique used to assess the performance of a predictive model by splitting the data into multiple subsets.
7,Erläutern Sie das Konzept des Overfittings.,"Overfitting tritt auf, wenn ein Modell die Trainingsdaten zu gut lernt und dabei Rauschen oder zufällige Schwankungen in den Daten erfasst, anstatt das zugrunde liegende Muster.",5,Overfitting; Modell; Trainingsdaten; Rauschen; zugrunde liegendes Muster,Hauptfrage,Explain the concept of overfitting.,"Overfitting occurs when a model learns the training data too well, capturing noise or random fluctuations in the data instead of the underlying pattern."
8,Welche Algorithmen werden häufig in der überwachten Lernmethode eingesetzt?,"Gängige Algorithmen sind lineare Regression, logistische Regression, Entscheidungsbäume, Random Forests, Support Vector Machines und neuronale Netze.",3,lineare Regression; logistische Regression; Entscheidungsbäume; Random Forests; Support Vector Machines; neuronale Netze,Aufzählung,What are some common algorithms used in supervised learning?,"Common algorithms include linear regression, logistic regression, decision trees, random forests, support vector machines, and neural networks."
9,Was ist Dimensionsreduktion?,"Dimensionsreduktion ist der Prozess, die Anzahl der Eingangsvariablen in einem Datensatz zu verringern, indem sie in einen niedrigdimensionalen Raum transformiert werden und dabei wichtige Informationen erhalten bleiben.",6,Dimensionsreduktion; Eingangsvariablen; Datensatz; niedrigdimensionaler Raum; wichtige Informationen,Hauptfrage,What is dimensionality reduction?,Dimensionality reduction is the process of reducing the number of input variables in a dataset by transforming them into a lower-dimensional space while preserving important information.
10,Was ist Regularisierung in der maschinellen Lerntechnik?,"Regularisierung ist eine Technik, die verwendet wird, um Überanpassung zu verhindern, indem ein Strafterm zur Zielfunktion des Modells hinzugefügt wird.",5,Regularisierung; Überanpassung; Strafterm; Zielfunktion,Hauptfrage,What is regularization in machine learning?,Regularization is a technique used to prevent overfitting by adding a penalty term to the model's objective function.
11,Was ist Ensemble Learning?,"Ensemble Learning ist eine Technik, die mehrere Maschinenlernmodelle kombiniert, um Leistung und Robustheit zu verbessern.",4,Ensemble Learning; Kombination von Modellen; Leistungsverbesserung; Robustheit,Hauptfrage,What is ensemble learning?,Ensemble learning is a technique that combines multiple machine learning models to improve performance and robustness.
12,Was ist die ROC-Kurve?,"Die Receiver Operating Characteristic (ROC) Kurve ist ein grafischer Plot, der die Leistung eines binären Klassifikationsmodells bei unterschiedlichen Schwellenwerten veranschaulicht.",4,Receiver Operating Characteristic; ROC-Kurve; binäre Klassifikation; Schwellenwerte,Hauptfrage,What is the ROC curve?,The receiver operating characteristic (ROC) curve is a graphical plot that illustrates the performance of a binary classification model across different threshold settings.
13,Was ist AUC-ROC?,"Der Bereich unter der ROC-Kurve (AUC-ROC) ist eine Kennzahl, die zur Bewertung der Leistung eines binären Klassifikationsmodells verwendet wird.",5,AUC-ROC; ROC-Kurve; Leistung; binärer Klassifikator,Hauptfrage,What is AUC-ROC?,The area under the ROC curve (AUC-ROC) is a metric used to evaluate the performance of a binary classification model.
14,Was ist der Unterschied zwischen Klassifikation und Regression?,"Die Klassifikation ist eine überwachte Lernaufgabe, deren Ziel es ist, kategoriale Labels oder Klassen vorherzusagen, während die Regression eine überwachte Lernaufgabe ist, deren Ziel es ist, kontinuierliche numerische Werte vorherzusagen.",5,Klassifikation; überwachte Lernaufgabe; kategoriale Labels oder Klassen; Regression; kontinuierliche numerische Werte,Hauptfrage,What is the difference between classification and regression?,"Classification is a supervised learning task where the goal is to predict categorical labels or classes, while regression is a supervised learning task where the goal is to predict continuous numerical values."
15,Was ist Clusterbildung?,"Clusterbildung ist eine Technik des überwachungslosen Lernens, die darin besteht, ähnliche Datenpunkte auf der Basis ihrer Merkmale oder Eigenschaften zusammenzufassen.",5,überwachungsloses Lernen; Technik; Datenpunkte; Merkmale; Eigenschaften,Hauptfrage,What is clustering?,Clustering is an unsupervised learning technique that involves grouping similar data points together based on their features or characteristics.
16,Was ist der Fluch der Dimensionalität?,"Der Fluch der Dimensionalität bezieht sich auf das Phänomen, bei dem die Leistung bestimmter Algorithmen mit zunehmender Anzahl von Merkmalen oder Dimensionen in den Daten abnimmt.",4,Fluch der Dimensionalität; Leistung; Algorithmen; Anzahl von Merkmalen/Dimensionen,Hauptfrage,What is the curse of dimensionality?,The curse of dimensionality refers to the phenomenon where the performance of certain algorithms deteriorates as the number of features or dimensions in the data increases.
17,Was ist der Unterschied zwischen Präzision und Recall?,"Präzision misst den Anteil der wahren positiven Vorhersagen unter allen als positiv klassifizierten Instanzen durch einen Klassifikator, während Recall den Anteil der wahren positiven Vorhersagen unter allen tatsächlich positiven Instanzen im Datensatz misst.",5,Präzision; Recall; wahre positive Vorhersagen; positive Klassifizierungen; tatsächlich positive Instanzen,Hauptfrage,What is the difference between precision and recall?,"Precision measures the proportion of true positive predictions among all positive predictions made by a classifier, while recall measures the proportion of true positive predictions among all actual positive instances in the data."
18,Was ist der F1-Score?,Der F1-Score ist die harmonische Mittelwert von Präzision und Recall und liefert ein einzelnes Metrik zur Bewertung der Leistung eines Klassifizierers.,4,F1-Score; Harmonisches Mittel; Präzision; Recall,Hauptfrage,What is the F1 score?,The F1 score is the harmonic mean of precision and recall and provides a single metric to evaluate the performance of a classifier.
19,Was ist die Verzerrung eines Schätzers?,Die Verzerrung eines Schätzers misst den Unterschied zwischen dem erwarteten Wert des Schätzers und dem wahren Wert des geschätzten Parameters.,4,Verzerrung; Schätzer; erwarteter Wert; wahrer Wert; Parameter,Hauptfrage,What is the bias of an estimator?,The bias of an estimator measures the difference between the expected value of the estimator and the true value of the parameter being estimated.
20,Was ist die Varianz eines Schätzers?,Die Varianz eines Schätzers misst die Streuung oder Variabilität der Werte des Schätzers um seinen Erwartungswert.,4,Varianz; Schätzer; Streuung; Variabilität; Erwartungswert,Hauptfrage,What is the variance of an estimator?,The variance of an estimator measures the spread or variability of the estimator's values around its expected value.
21,Was ist das Zentrale Grenzwertsatz?,"Der Zentrale Grenzwertsatz besagt, dass die Stichprobenverteilung des Stichprobenmittelwerts sich einer Normalverteilung annähert, wenn die Stichprobengröße zunimmt.",4,Zentrale Grenzwertsatz; Stichprobenverteilung; Stichprobenmittelwert; Normalverteilung; Stichprobengröße,Hauptfrage,What is the Central Limit Theorem?,The Central Limit Theorem states that the sampling distribution of the sample mean approaches a normal distribution as the sample size increases.
22,Was ist Regularisierung in neuronalen Netzen?,"Regularisierung in neuronalen Netzen beinhaltet das Hinzufügen von Straftermen zur Zielfunktion, um Überanpassung zu verhindern.",6,Regularisierung; neuronale Netze; Strafterme; Zielfunktion; Überanpassung,Hauptfrage,What is regularization in neural networks?,Regularization in neural networks involves adding penalty terms to the loss function to prevent overfitting.
23,Was ist Batch Normalization?,"Batch Normalization ist eine Technik, die in neuronalen Netzwerken verwendet wird, um die Stabilität und Geschwindigkeit des Trainings zu verbessern, indem sie die Aktivierungen jeder Schicht normalisiert.",4,Batch Normalization; neuronale Netzwerke; Training; Stabilität; Geschwindigkeit; Normalisierung; Aktivierungen,Hauptfrage,What is batch normalization?,Batch normalization is a technique used in neural networks to improve training stability and speed by normalizing the activations of each layer.
24,Was ist Transfer Learning?,"Transfer learning ist eine Maschinenlerntechnik, bei der ein Modell, das für eine Aufgabe trainiert wurde, als Ausgangspunkt für ein Modell auf einer verwandten Aufgabe wiederverwendet wird.",4,Transfer Learning; Maschinenlerntechnik; Modell; trainiert; Ausgangspunkt; verwandte Aufgabe,Hauptfrage,What is transfer learning?,Transfer learning is a machine learning technique where a model trained on one task is reused as the starting point for a model on a related task.
25,Was ist Natural Language Processing (NLP)?,"Natural Language Processing (NLP) ist ein Bereich der künstlichen Intelligenz, der sich mit der Interaktion zwischen Computern und menschlichen Sprachen befasst.",4,Natural Language Processing; NLP; künstliche Intelligenz; Interaktion; Computer; menschliche Sprachen,Hauptfrage,What is natural language processing (NLP)?,Natural language processing (NLP) is a field of artificial intelligence that focuses on the interaction between computers and human languages.
26,Was ist Wort-Embedding?,"Wort-Embedding ist eine Technik, um Wörter als dichte Vektoren in einem kontinuierlichen Vektorraum darzustellen.",5,Technik; repräsentieren; Wörter; dichte Vektoren; kontinuierlicher Vektorraum,Hauptfrage,What is word embedding?,Word embedding is a technique used to represent words as dense vectors in a continuous vector space.
27,Was ist Sentiment-Analyse?,"Sentiment-Analyse ist eine Aufgabe der natürlichen Sprachverarbeitung, die das Bestimmen des in einem Texttext ausgedrückten Gefühls oder Meinung beinhaltet.",5,Sentiment-Analyse; natürliche Sprachverarbeitung; Gefühl; Meinung; Text,Hauptfrage,What is sentiment analysis?,Sentiment analysis is a natural language processing task that involves determining the sentiment or opinion expressed in a piece of text.
28,Was ist tiefes Lernen?,"Tieflernend ist ein Teilgebiet des maschinellen Lernens, das sich auf künstliche neuronale Netze mit mehreren Schichten konzentriert.",5,tiefes Lernen; maschinelles Lernen; künstliches neuronales Netzwerk; mehrere Schichten,Hauptfrage,What is deep learning?,Deep learning is a subset of machine learning that focuses on artificial neural networks with multiple layers.
29,Was ist ein Convolutional Neural Network (CNN)?,"Ein Convolutional Neural Network (CNN) ist eine Art von tiefem neuronalem Netzwerk, das besonders gut für die Verarbeitung strukturierter gitterförmiger Daten geeignet ist, wie z. B. Bilder.",5,Convolutional Neural Network; tiefes neuronales Netzwerk; strukturierte gitterförmige Daten; Bilder,Hauptfrage,What is a convolutional neural network (CNN)?,"A convolutional neural network (CNN) is a type of deep neural network that is particularly well-suited for processing structured grid-like data, such as images."
30,Was ist ein rekurrentes neuronales Netzwerk (RNN)?,"Ein rekurrentes neuronales Netzwerk (RNN) ist eine Art von neuronalen Netzwerk, das darauf ausgelegt ist, sequentielle Daten zu verarbeiten, indem es einen Zustand oder ein Gedächtnis der vorherigen Eingaben beibehält.",4,rekurrentes neuronales Netzwerk; sequentielle Daten; Zustand/Gedächtnis,Hauptfrage,What is a recurrent neural network (RNN)?,A recurrent neural network (RNN) is a type of neural network designed to process sequential data by maintaining a state or memory of previous inputs.
31,Was ist verstärkendes Lernen?,"Verstärkendes Lernen ist ein maschinelles Lernparadigma, bei dem sich eine Agentin durch Interaktionen mit einer Umgebung entscheidet, um kumulative Belohnungen zu maximieren.",4,verstärkendes Lernen; Agentin; Entscheiden; Interaktionen; Umgebung; kumulative Belohnungen,Hauptfrage,What is reinforcement learning?,Reinforcement learning is a machine learning paradigm where an agent learns to make decisions by interacting with an environment to maximize cumulative rewards.
32,Was ist Q-Learning?,"Q-Learning ist ein modellfreies Verstärkungs-Lernalgorithmus, der verwendet wird, um die optimale Aktionen-Auswahl-Politik für einen Markov-Entscheidungsprozess (MDP) zu lernen.",4,modellfreies Verstärkungslernen; Q-Learning; optimaler Aktionen-Auswahl-Politik; Markov-Entscheidungsprozess (MDP),Hauptfrage,What is Q-learning?,Q-learning is a model-free reinforcement learning algorithm used to learn the optimal action-selection policy for a Markov decision process (MDP).
33,Was ist der Exploration-Exploitation Trade-off im Reinforcement Learning?,"Der Exploration-Exploitation Trade-off bezieht sich auf das Dilemma, mit dem Lernagenten im Reinforcement Learning konfrontiert sind, wenn sie entscheiden müssen, ob sie neue Aktionen erkunden oder bekannte Aktionen ausnutzen sollen, um die Belohnungen zu maximieren.",6,Exploration-Exploitation Trade-off; Exploration; Exploitation; Lernagenten; Reinforcement Learning,Hauptfrage,What is the exploration-exploitation tradeoff in reinforcement learning?,The exploration-exploitation tradeoff refers to the dilemma faced by reinforcement learning agents when deciding whether to explore new actions or exploit known actions to maximize rewards.
34,Was ist tiefes verstärkendes Lernen?,"Tiefes verstärkendes Lernen kombiniert Verstärkerlernen mit Techniken des tieferen Lernens, um hochdimensionale Eingaberaum zu bewältigen und komplexe Richtlinien direkt aus rohen Sensordaten zu lernen.",6,Verstärkendes Lernen; Tiefes Lernen; hohe Dimensionalität; komplexe Richtlinien; rohe Sensordaten,Hauptfrage,What is deep reinforcement learning?,Deep reinforcement learning combines reinforcement learning with deep learning techniques to handle high-dimensional input spaces and learn complex policies directly from raw sensory input.
35,Was ist ein Markov-Entscheidungsprozess (MDP)?,"Ein Markov-Entscheidungsprozess (MDP) ist ein mathematisches Framework, das zur Modellierung von sequenziellen Entscheidungsproblemen verwendet wird, bei denen sich ein Agent mit einer Umgebung interagiert.",6,Markov-Entscheidungsprozess; mathematische Framework; sequenzielle Entscheidungsprobleme; Agent; Umgebung,Hauptfrage,What is a Markov decision process (MDP)?,A Markov decision process (MDP) is a mathematical framework used to model sequential decision-making problems in which an agent interacts with an environment.
36,Was ist die Kreuzentropie-Verlustfunktion?,"Die Kreuzentropie-Verlustfunktion, auch bekannt als Logarithmusverlust, ist eine Verlustfunktion, die in Klassifikationsaufgaben verwendet wird, um die Differenz zwischen der vorhergesagten Wahrscheinlichkeitsverteilung und der wahren Wahrscheinlichkeitsverteilung der Klassen zu quantifizieren.",5,Kreuzentropie-Verlustfunktion; Logarithmusverlust; Verlustfunktion; Klassifikationsaufgaben; vorhergesagte Wahrscheinlichkeitsverteilung; wahre Wahrscheinlichkeitsverteilung,Hauptfrage,What is cross-entropy loss?,"Cross-entropy loss, also known as log loss, is a loss function used in classification tasks to quantify the difference between the predicted probability distribution and the true probability distribution of the classes."
37,Was ist die Softmax-Funktion?,"Die Softmax-Funktion ist eine mathematische Funktion, die einen Vektor aus beliebigen reellen Werten in einen Wahrscheinlichkeitsvektor umwandelt.",4,Softmax-Funktion; mathematische Funktion; Vektor; reelle Werte; Wahrscheinlichkeitsvektor,Hauptfrage,What is the softmax function?,The softmax function is a mathematical function that converts a vector of arbitrary real values into a vector of probabilities.
38,Was ist der Unterschied zwischen einem generativen Modell und einem diskriminierenden Modell?,"Ein generatives Modell lernt die gemeinsame Wahrscheinlichkeitsverteilung der Eingabefeatures und der Zielvariablen, während ein diskriminierendes Modell die bedingte Wahrscheinlichkeitsverteilung der Zielvariablen gegeben den Eingabefeatures lernt.",6,generatives Modell; diskriminierendes Modell; gemeinsame Wahrscheinlichkeitsverteilung; bedingte Wahrscheinlichkeitsverteilung; Zielvariablen; Eingabefeatures,Hauptfrage,What is the difference between a generative model and a discriminative model?,"A generative model learns the joint probability distribution of the input features and the target labels, while a discriminative model learns the conditional probability distribution of the target labels given the input features."
39,Was ist ein Autoencoder?,"Ein Autoencoder ist eine Art von neuronalen Netzarchitektur, die darauf trainiert wird, ihre Eingabedaten im Ausgabeschicht wiederherzustellen.",5,neuronale Netzarchitektur; trainieren; rekonstruieren; Eingabedaten; Ausgabeschicht,Hauptfrage,What is autoencoder?,An autoencoder is a type of neural network architecture that is trained to reconstruct its input data at the output layer.
40,Was ist der Unterschied zwischen Bagging und Boosting?,"Bagging (Bootstrap Aggregating) ist eine Ensemble-Methode, die mehrere Modelle unabhängig voneinander aufbaut und deren Vorhersagen durch Mittelwertbildung oder Abstimmung kombiniert. Boosting hingegen baut Modelle sequenziell auf, indem es den falsch klassifizierten Instanzen mehr Gewicht gibt.",4,Bagging; Bootstrap Aggregating; Ensemble-Methode; unabhängig; Mittelwertbildung; Abstimmung; Boosting; sequenziell; Gewicht; falsch klassifiziert,Hauptfrage,What is the difference between bagging and boosting?,"Bagging (Bootstrap Aggregating) is an ensemble method that builds multiple models independently and combines their predictions through averaging or voting, while boosting sequentially builds models by giving more weight to misclassified instances."
41,Was ist Hyperparameter-Tuning?,"Hyperparameter-Tuning ist der Prozess, um die optimalen Hyperparameter für ein maschinelles Lernmodell zu finden und dessen Leistung zu verbessern.",4,Hyperparameter; Tuning; Optimal; Maschinelles Lernmodell; Leistung,Hauptfrage,What is hyperparameter tuning?,Hyperparameter tuning is the process of finding the optimal hyperparameters for a machine learning model to improve its performance.
42,Was ist die 'Fluch der Dimensionalität' im Kontext der Merkmalsauswahl?,"Der Fluch der Dimensionalität in der Merkmalsauswahl bezieht sich auf Herausforderungen und Einschränkungen, die durch hochdimensionale Daten entstehen, wie z. B. erhöhte Rechenaufwände und Schwierigkeiten bei der Identifikation sinnvoller Merkmale.",4,Fluch der Dimensionalität; hochdimensionale Daten; Rechenaufwand; Merkmalsauswahl,Hauptfrage,What is the curse of dimensionality in the context of feature selection?,"The curse of dimensionality in feature selection refers to the challenges and limitations posed by high-dimensional data, such as increased computational complexity and difficulty in finding meaningful features."
43,Was ist der Unterschied zwischen L1- und L2-Regularisierung?,"Die L1-Regularisierung (Lasso) fügt einen Strafterm hinzu, der proportional zum absoluten Wert der Koeffizienten ist, was zu Sparsamkeit und Feature-Auswahl führt. Die L2-Regularisierung (Ridge) fügt hingegen einen Strafterm hinzu, der proportional zum Quadrat der Koeffizienten ist, um große Koeffizienten zu bestrafen.",4,L1-regularisierung; L2-regularisierung; Lasso; Ridge; Sparsamkeit; Feature-Auswahl,Hauptfrage,What is the difference between L1 and L2 regularization?,"L1 regularization (Lasso) adds a penalty term proportional to the absolute value of the coefficients, encouraging sparsity and feature selection, while L2 regularization (Ridge) adds a penalty term proportional to the square of the coefficients, penalizing large coefficients."
44,Was ist der Zweck von Kreuzvalidierung bei der Merkmalsauswahl?,"Kreuzvalidierung bei der Merkmalsauswahl wird verwendet, um die Leistung eines Modells mit verschiedenen Teilmenge von Merkmalen zu bewerten. Dadurch können die informativsten Merkmale identifiziert und das Risiko des Überanpassens reduziert werden.",4,Kreuzvalidierung; Merkmalsauswahl; Modellleistung; Merkmalsteilmenge; informative Merkmale; Überanpassen,Hauptfrage,What is the purpose of cross-validation in feature selection?,"Cross-validation in feature selection is used to evaluate the performance of a model with different subsets of features, helping to identify the most informative features and reduce the risk of overfitting."
45,Welche Rolle spielt der Bias bei der Modellbewertung?,"Bias in der Modellbewertung bezieht sich auf systematische Fehler oder Ungenauigkeiten in den Vorhersagen eines Modells, die durch Vereinfachungsannahmen oder Einschränkungen in der Modellarchitektur entstehen können.",4,Bias; systematische Fehler; Ungenauigkeiten; Vereinfachungsannahmen; Modellarchitektur,Hauptfrage,What is the role of bias in model evaluation?,"Bias in model evaluation refers to systematic errors or inaccuracies in the predictions made by a model, which may arise from simplifying assumptions or limitations in the model architecture."
46,Welche Bedeutung hat die Interpretierbarkeit in maschinellen Lernmodellen?,"Interpretierbarkeit in maschinellen Lernmodellen ist wichtig, um zu verstehen, wie Vorhersagen getroffen werden, Einsichten in die zugrunde liegenden Beziehungen im Datenmaterial zu gewinnen und das Vertrauen der Stakeholder zu stärken.",6,Interpretierbarkeit; maschinelle Lernmodelle; Vorhersagen; zugrunde liegende Beziehungen; Stakeholder,Hauptfrage,What is the importance of interpretability in machine learning models?,"Interpretability in machine learning models is important for understanding how predictions are made, gaining insights into the underlying relationships in the data, and building trust with stakeholders."
47,Was ist der Unterschied zwischen k-Means-Clustering und hierarchischem Clustering?,"Das k-Means-Clustering partitioniert die Daten in k Cluster, indem es die Summe der quadrierten Abstände innerhalb der Cluster minimiert, während das hierarchische Clustering eine baumartige Hierarchie von Clustern aufbaut, indem es rekursiv Cluster basierend auf ihrer Nähe zusammenführt oder teilt.",6,k-Means-Clustering; hierarchisches Clustering; Partitionierung; Summe der quadrierten Abstände; baumartige Hierarchie; rekursiv; Nähe,Hauptfrage,What is the difference between k-means and hierarchical clustering?,"K-means clustering partitions the data into k clusters by minimizing the within-cluster sum of squares, while hierarchical clustering builds a tree-like hierarchy of clusters by recursively merging or splitting clusters based on proximity."
48,Wofür wird die Elbow-Methode in der k-means-Clusterung verwendet?,"Die Elbow-Methode wird verwendet, um die optimale Anzahl an Clustern (k) in der k-means-Clusterung zu bestimmen. Dies geschieht durch das Plotten der inneren Cluster-Summe der Quadrate gegen die Anzahl der Cluster und die Identifizierung des ""Elbow""-Punktes, an dem die Rate des Rückgangs der Trägheit abnimmt.",4,Elbow-Methode; optimale Anzahl an Clustern; inneren Cluster-Summe der Quadrate; Elbow-Punkt,Hauptfrage,What is the Elbow Method used for in k-means clustering?,"The Elbow Method is used to determine the optimal number of clusters (k) in k-means clustering by plotting the within-cluster sum of squares against the number of clusters and identifying the ""elbow"" point where the rate of decrease in inertia slows down."
49,Welche Rolle spielt die Regularisierung bei der Reduzierung der Modellkomplexität?,"Regularisierung im maschinellen Lernen reduziert die Modellkomplexität, indem sie Strafterme zur Verlustfunktion hinzufügt. Dadurch werden einfachere Modelle mit kleineren Koeffizienten oder weniger Merkmalen gefördert.",6,Regularisierung; Modellkomplexität; Strafterme; Verlustfunktion; Koeffizienten; Merkmale,Hauptfrage,What is the role of regularization in reducing model complexity?,"Regularization in machine learning reduces model complexity by adding penalty terms to the loss function, encouraging simpler models with smaller coefficients or fewer features."
