id,question_de,answer_de,max_points,keywords,question_type,question_en,answer_en,translation_similarity_question,translation_similarity_answer,len_answer_en,len_answer_de,len_answer_ratio,len_question_en,len_question_de,len_question_ratio,answer_length,points_z,to_review
8,Welche gängigen Algorithmen werden in der überwachten Lernmethodik verwendet?,"Gängige Algorithmen sind die lineare Regression, logistische Regression, Entscheidungsbäume, Random Forests, Support Vector Machines und neuronale Netze.",3,lineare Regression; logistische Regression; Entscheidungsbäume; Random Forests; Support Vector Machines; neuronale Netze,Aufzählung,What are some common algorithms used in supervised learning?,"Common algorithms include linear regression, logistic regression, decision trees, random forests, support vector machines, and neural networks.",0.85599834,0.9305489,143,153,1.06993006993007,60,77,1.2833333333333334,143,-2.1947533240501067,True
16,Was ist der Fluch der Dimensionalität?,"Der Fluch der Dimensionalität bezieht sich auf das Phänomen, bei dem die Leistung bestimmter Algorithmen abnimmt, wenn die Anzahl der Merkmale oder Dimensionen in den Daten zunimmt.",4,Fluch der Dimensionalität; Algorithmenleistung; Anzahl der Merkmale; Dimensionen,Hauptfrage,What is the curse of dimensionality?,The curse of dimensionality refers to the phenomenon where the performance of certain algorithms deteriorates as the number of features or dimensions in the data increases.,0.7322204,0.8005874,172,181,1.052325581395349,36,38,1.0555555555555556,172,-1.1344860177457075,True
17,Was ist der Unterschied zwischen Präzision und Recall?,"Präzision misst den Anteil der wahren positiven Vorhersagen unter allen positiven Vorhersagen, die ein Klassifizierer trifft, während Recall den Anteil der wahren positiven Vorhersagen unter allen tatsächlich positiven Instanzen im Datensatz misst.",4,Präzision; Recall; wahre positive Vorhersagen; positive Vorhersagen; tatsächliche positive Instanzen,Hauptfrage,What is the difference between precision and recall?,"Precision measures the proportion of true positive predictions among all positive predictions made by a classifier, while recall measures the proportion of true positive predictions among all actual positive instances in the data.",0.76246107,0.71208954,230,248,1.0782608695652174,52,54,1.0384615384615385,230,-1.1344860177457075,True
20,Was ist die Varianz eines Schätzers?,Die Varianz eines Schätzers misst die Streuung oder Variabilität der Werte des Schätzers um seinen erwarteten Wert.,4,Varianz; Schätzer; Streuung; Variabilität; erwarteter Wert,Hauptfrage,What is the variance of an estimator?,The variance of an estimator measures the spread or variability of the estimator's values around its expected value.,0.61992264,0.7842263,116,115,0.9913793103448276,37,36,0.972972972972973,116,-1.1344860177457075,True
21,Was ist die Zentraler Grenzwertsatz?,"Der Zentrale Grenzwertsatz besagt, dass sich die Stichprobenverteilung des Stichprobenmittelwerts einer Normalverteilung annähert, wenn die Stichprobengröße zunimmt.",4,Zentraler Grenzwertsatz; Stichprobenverteilung; Stichprobenmittelwert; Normalverteilung; Stichprobengröße,Hauptfrage,What is the Central Limit Theorem?,The Central Limit Theorem states that the sampling distribution of the sample mean approaches a normal distribution as the sample size increases.,0.6585105,0.8501303,145,165,1.1379310344827587,34,36,1.0588235294117647,145,-1.1344860177457075,True
31,Was ist Verstärkerlernen?,"Verstärkerlernen ist ein maschinelles Lernparadigma, bei dem ein Agent lernt, Entscheidungen zu treffen, indem er mit einer Umgebung interagiert, um die kumulierten Belohnungen zu maximieren.",4,Verstärkerlernen; maschinelles Lernparadigma; Agent; Umgebung; Belohnungen,Hauptfrage,What is reinforcement learning?,Reinforcement learning is a machine learning paradigm where an agent learns to make decisions by interacting with an environment to maximize cumulative rewards.,0.7462442,0.87658346,160,191,1.19375,31,25,0.8064516129032258,160,-1.1344860177457075,True
33,Was ist das Exploration-Exploitation-Dilemma in der verstärkenden KI?,"Das Exploration-Exploitation-Dilemma bezieht sich auf die Zwickmühle, mit der Agenten der verstärkenden KI konfrontiert sind, wenn sie entscheiden müssen, ob sie neue Aktionen erkunden oder bekannte Aktionen nutzen sollen, um die Belohnungen zu maximieren.",6,Exploration; Exploitation; Dilemma; verstärkende KI; Agenten; Aktionen; Belohnungen,Hauptfrage,What is the exploration-exploitation tradeoff in reinforcement learning?,The exploration-exploitation tradeoff refers to the dilemma faced by reinforcement learning agents when deciding whether to explore new actions or exploit known actions to maximize rewards.,0.52621454,0.75096613,189,256,1.3544973544973544,72,69,0.9583333333333334,189,0.9860485948630909,True
67,Was ist der Unterschied zwischen Präzision und Recall bei Klassifikationsaufgaben?,"Präzision misst den Anteil der wahren positiven Vorhersagen unter allen positiv vorhergesagten Instanzen eines Klassifizierers, während Recall den Anteil der wahren positiven Vorhersagen unter allen tatsächlich positiven Instanzen im Datensatz misst.",4,Präzision; Recall; wahre positive Vorhersagen; positive Vorhersagen; tatsächlich positive Instanzen,Hauptfrage,What is the difference between precision and recall in classification tasks?,"Precision measures the proportion of true positive predictions among all positive predictions made by a classifier, while recall measures the proportion of true positive predictions among all actual positive instances in the data.",0.8261006,0.718413,230,250,1.0869565217391304,76,82,1.0789473684210527,230,-1.1344860177457075,True
74,Was ist der Unterschied zwischen Präzision und Genauigkeit bei der Modellbewertung?,"Präzision misst den Anteil der wahren positiven Vorhersagen unter allen positiven Vorhersagen, die ein Klassifizierer trifft. Genauigkeit misst hingegen den Anteil der korrekten Vorhersagen (sowohl wahre Positive als auch wahre Negative) unter allen getroffenen Vorhersagen.",5,Präzision; Genauigkeit; wahre positive Vorhersagen; korrekte Vorhersagen,Hauptfrage,What is the difference between precision and accuracy in model evaluation?,"Precision measures the proportion of true positive predictions among all positive predictions made by a classifier, while accuracy measures the proportion of correct predictions (both true positives and true negatives) among all predictions made by the classifier.",0.89983416,0.690732,264,274,1.0378787878787878,74,83,1.1216216216216217,264,-0.07421871144130825,True
77,Was ist der Unterschied zwischen Korrelation und Kovarianz?,"Die Kovarianz misst den Grad, in dem sich zwei Variablen gemeinsam verändern, während die Korrelation sowohl die Stärke als auch die Richtung der linearen Beziehung zwischen zwei Variablen misst.",5,Kovarianz; Korrelation; Grad der Veränderung; Stärke und Richtung,Hauptfrage,What is the difference between correlation and covariance?,"Covariance measures the degree to which two variables change together, while correlation measures both the strength and direction of the linear relationship between two variables.",0.6519807,0.6951966,179,195,1.089385474860335,58,59,1.0172413793103448,179,-0.07421871144130825,True
79,Was ist der Unterschied zwischen gestuftem Stichproben und Zufallsstichprobe?,"Gestufte Stichproben teilen die Grundgesamtheit in homogene Teilgruppen (Strata) auf und entnehmen jeder Stratum proportional Stichproben, während die Zufallsstichprobe Individuen zufällig aus der gesamten Population auswählt, ohne Rücksicht auf Strata.",5,gestuftes Stichprobenn; homogene Teilgruppen; proportionale Stichprobenentnahme; Zufallsstichprobe; Grundgesamtheit; Strata,Hauptfrage,What is the difference between stratified sampling and random sampling?,"Stratified sampling divides the population into homogeneous subgroups (strata) and samples from each stratum proportionally, while random sampling selects individuals randomly from the entire population without regard to strata.",0.6339857,0.8775382,228,253,1.1096491228070176,71,77,1.0845070422535212,228,-0.07421871144130825,True
87,Was ist der Zentrale Grenzwertsatz und warum ist er wichtig?,"Der Zentrale Grenzwertsatz besagt, dass die Stichprobenverteilung des Stichprobendurchschnitts einer Normalverteilung annähert, wenn die Stichprobengröße zunimmt, unabhängig von der Form der Grundgesamtheit. Er ist wichtig, weil er es uns ermöglicht, Aussagen über Populationsparameter auf Basis von Stichprobenstatistiken zu treffen.",5,Zentrale Grenzwertsatz; Stichprobenverteilung; Normalverteilung; Stichprobengröße; Grundgesamtheit; Populationsparameter; Stichprobenstatistik,Hauptfrage,What is the Central Limit Theorem and why is it important?,"The Central Limit Theorem states that the sampling distribution of the sample mean approaches a normal distribution as the sample size increases, regardless of the shape of the population distribution. It is important because it allows us to make inferences about population parameters based on sample statistics.",0.67926455,0.8271703,313,334,1.0670926517571886,58,60,1.0344827586206897,313,-0.07421871144130825,True
88,Was ist der Zweck der Ausreißererkennung in der Datenanalyse?,"Die Ausreißererkennung beinhaltet die Identifizierung von Beobachtungen, die sich signifikant vom Rest der Daten unterscheiden. Ausreißer können statistische Analysen und maschinelle Lernmodelle verzerren, daher ist es wichtig, sie angemessen zu erkennen und zu behandeln, um genaue Ergebnisse zu erzielen.",4,Ausreißererkennung; Beobachtungen; signifikant abweichen; statistische Analysen; maschinelle Lernmodelle; verzerren; erkennen; behandeln,Hauptfrage,What is the purpose of outlier detection in data analysis?,"Outlier detection involves identifying observations that deviate significantly from the rest of the data. Outliers can distort statistical analyses and machine learning models, so detecting and handling them appropriately is important for accurate results.",0.73160005,0.7250099,256,306,1.1953125,58,61,1.0517241379310345,256,-1.1344860177457075,True
89,Was ist der Unterschied zwischen überwachten und unüberwachten Ausreißererkennungsverfahren?,"Überwachte Ausreißererkennungsverfahren erfordern gelabeltes Datenmaterial mit Ausreißerbezeichnungen, während unüberwachte Verfahren Ausreißer anhand der Eigenschaften des Datensatzes selbst erkennen und keine gelabelten Beispiele benötigen.",6,übersichtliche Ausreißererkennungsverfahren; überwacht; unüberwacht; gelabeltes Datenmaterial; Ausreißerbezeichnungen; Eigenschaften des Datensatzes,Hauptfrage,What is the difference between supervised and unsupervised outlier detection methods?,"Supervised outlier detection methods require labeled data with outlier labels, while unsupervised methods detect outliers based on the characteristics of the data itself without requiring labeled examples.",0.7236283,0.70750487,205,242,1.1804878048780487,85,92,1.0823529411764705,205,0.9860485948630909,True
98,Was ist der Unterschied zwischen Präzision und Recall bei der Klassifikationsbewertung?,"Präzision misst den Anteil der wahren positiven Vorhersagen unter allen positiven Vorhersagen, die ein Klassifizierer trifft, während Recall den Anteil der wahren positiven Vorhersagen unter allen tatsächlichen positiven Instanzen in den Daten misst.",5,Präzision; Recall; wahre positive Vorhersagen; Klassifizierer,Hauptfrage,What is the difference between precision and recall in classification evaluation?,"Precision measures the proportion of true positive predictions among all positive predictions made by a classifier, while recall measures the proportion of true positive predictions among all actual positive instances in the data.",0.85171056,0.719172,230,250,1.0869565217391304,81,87,1.0740740740740742,230,-0.07421871144130825,True
116,Was ist der Zweck von Aufmerksamkeitsmechanismen in neuronalen Netzen?,"Aufmerksamkeitsmechanismen in neuronalen Netzen ermöglichen es dem Modell, sich auf relevante Teile der Eingabedaten zu konzentrieren und irrelevante Informationen zu ignorieren. Sie haben besonders im Bereich des natürlichen Sprachverarbeitens bei Aufgaben wie Maschinenübersetzung und Textzusammenfassung großen Erfolg gezeigt.",8,Aufmerksamkeitsmechanismen; neuronale Netze; relevante Teile der Eingabedaten; natürliche Sprachverarbeitung; Maschinenübersetzung; Textzusammenfassung,Hauptfrage,What is the purpose of attention mechanisms in neural networks?,Attention mechanisms in neural networks enable the model to focus on relevant parts of the input data while ignoring irrelevant information. They have been particularly successful in natural language processing tasks such as machine translation and text summarization.,0.88372886,0.92415404,268,329,1.2276119402985075,63,70,1.1111111111111112,268,3.1065832074718895,True
128,Was ist der Zweck des Hypothesentests in der EDA?,"Der Hypothesentest in der EDA dient dazu, zu bewerten, ob beobachtete Unterschiede oder Beziehungen im Datenmaterial statistisch signifikant sind oder auf Zufall beruhen. Er umfasst die Formulierung von Null- und Alternativhypothesen sowie das Durchführen statistischer Tests, um Rückschlüsse über Parameter der Grundgesamtheit zu ziehen.",4,Hypothesentest; statistisch signifikant; Nullhypothese; Alternativhypothese; statistische Tests; Grundgesamtheit,Hauptfrage,What is the purpose of hypothesis testing in EDA?,Hypothesis testing in EDA is used to evaluate whether observed differences or relationships in the data are statistically significant or due to random chance. It involves formulating null and alternative hypotheses and conducting statistical tests to make inferences about population parameters.,0.5333515,0.86269057,295,338,1.1457627118644067,49,49,1.0,295,-1.1344860177457075,True
137,Welchen Zweck erfüllt die Ausreißererkennung in der EDA?,"Die Ausreißererkennung im Rahmen der EDA beinhaltet das Identifizieren von Beobachtungen, die sich deutlich vom Rest der Daten unterscheiden. Ausreißer können statistische Analysen und maschinelle Lernmodelle verzerren, daher ist es wichtig, sie angemessen zu erkennen und zu behandeln, um präzise Ergebnisse zu gewährleisten.",5,Ausreißererkennung; EDA; Beobachtungen; statistische Analysen; Verzerren; maschinelle Lernmodelle,Hauptfrage,What is the purpose of outlier detection in EDA?,"Outlier detection in EDA involves identifying observations that deviate significantly from the rest of the data. Outliers can distort statistical analyses and machine learning models, so detecting and handling them appropriately is important for accurate results.",0.7266618,0.79048455,263,326,1.2395437262357414,48,56,1.1666666666666667,263,-0.07421871144130825,True
138,Welche gängigen Techniken gibt es zur Erkennung von Ausreißern im Rahmen der EDA?,"Gängige Techniken zur Erkennung von Ausreißern in der EDA umfassen grafische Methoden (z. B., Streudiagramme, Boxplots), statistische Methoden (z. B., z-Score, modifizierter z-Score) und proximitätsbasierte Methoden (z. B., nächste Nachbarn).",4,grafische Methoden; Streudiagramme; Boxplots; statistische Methoden; z-Score; modifizierter z-Score; proximitätsbasierte Methoden; nächste Nachbarn,Aufzählung,What are some common techniques for detecting outliers in EDA?,"Common techniques for detecting outliers in EDA include graphical methods (e.g., scatter plots, box plots), statistical methods (e.g., z-score, modified z-score), and proximity-based methods (e.g., nearest neighbors).",0.70872176,0.8406325,217,242,1.1152073732718895,62,81,1.3064516129032258,217,-1.1344860177457075,True
141,Was ist der Zweck von Streudiagrammen in der EDA?,"Streudiagramme in der EDA visualisieren die Beziehung zwischen zwei stetigen Variablen, indem sie jeden Datenpunkt als Punkt auf einem Graphen darstellen. Sie helfen dabei, Muster, Trends und Korrelationen in den Daten zu identifizieren.",4,Streudiagramme; EDA; stetige Variablen; visuell; Beziehung; Muster; Trends; Korrelation,Hauptfrage,What is the purpose of scatter plots in EDA?,"Scatter plots in EDA visualize the relationship between two continuous variables by plotting each data point as a point on a graph. They help to identify patterns, trends, and correlations in the data.",0.4922185,0.8643822,201,237,1.1791044776119404,44,49,1.1136363636363635,201,-1.1344860177457075,True
142,Was ist der Zweck von Balkendiagrammen in der EDA?,"Balkendiagramme in der EDA repräsentieren kategoriale Daten, indem sie die Häufigkeit oder den Anteil der Beobachtungen in jeder Kategorie als Balken unterschiedlicher Höhe darstellen. Sie sind nützlich zum Vergleich der Verteilung von kategorialen Variablen.",4,Balkendiagramme; EDA; kategoriale Daten; Häufigkeit; Anteil; Balkenhöhen; Vergleich,Hauptfrage,What is the purpose of bar charts in EDA?,Bar charts in EDA represent categorical data by displaying the frequency or proportion of observations in each category as bars of varying heights. They are useful for comparing the distribution of categorical variables.,0.72567856,0.7798648,220,259,1.1772727272727272,41,50,1.2195121951219512,220,-1.1344860177457075,True
143,Was ist der Zweck von Liniendiagrammen in der EDA?,"Liniendiagramme in der EDA visualisieren den Trend oder das Muster einer Variablen über die Zeit oder eine andere kontinuierliche Dimension, indem sie Datenpunkte durch Linien verbinden. Sie werden häufig für die Analyse von Zeitreihen und zur Identifikation von Trends eingesetzt.",4,Liniendiagramme; EDA; Trend; Muster; Zeitreihenanalyse,Hauptfrage,What is the purpose of line plots in EDA?,Line plots in EDA visualize the trend or pattern of a variable over time or another continuous dimension by connecting data points with lines. They are commonly used for time series analysis and trend identification.,0.7258204,0.94368815,216,281,1.3009259259259258,41,50,1.2195121951219512,216,-1.1344860177457075,True
194,Welche gängigen Techniken gibt es zur Modellinterpretation im maschinellen Lernen?,"Gängige Techniken zur Modellinterpretation im maschinellen Lernen umfassen die Analyse der Merkmalswichtigkeit (z. B. Permutation Importance, SHAP-Werte), partielle Abhängigkeitsplots, Plots für individuelle bedingte Erwartungen (ICE-Plots) sowie modellunabhängige Interpretationsmethoden (z. B. LIME, SHAP).",8,Merkmalswichtigkeit; Permutation Importance; SHAP-Werte; partielle Abhängigkeitsplots; ICE-Plots; modellunabhängige Interpretationsmethoden; LIME,Aufzählung,What are some common techniques for model interpretation in machine learning?,"Common techniques for model interpretation in machine learning include feature importance analysis (e.g., permutation importance, SHAP values), partial dependence plots, individual conditional expectation (ICE) plots, and model-agnostic interpretation methods (e.g., LIME, SHAP).",0.91048896,0.9013425,279,308,1.103942652329749,77,82,1.0649350649350648,279,3.1065832074718895,True
